Country;Country Abbreviation;Cases;Country Risk Index;Short Term Political Risk;Long Term Political Risk;Short Term Economic Risk;Long Term Economic Risk;Operational Risk Index;Long-Term Issuer Default Rating Index;Unemployment (% of labour force);Population growth;GDP per head at market exchange rates (USD);Population % above 65 years old (2018);Women in Parliament%;Universal Health Care Coverage;Income Level
Mongolia;MNG;297;52,7;52,7;69,9;41,9;38,7;51;30;0,1;0,0172;4163,51;0,040835388;0,173333333;2;2
Vietnam;VNM;349;63,2;63,2;59,7;65,4;64,6;53,4;45;0,0221;0,0108;2538,66;0,072749783;0,267206478;2;2
Malta;MLT;663;74,9;74,9;82,1;77,1;77,4;65,5;80;0,036;0,0042;33670,56;0,203493243;0,149253731;1;4
Jamaica;JAM;758;54,1;54,1;64,2;44,6;47,9;48,9;35;0,091;0,0033;5420,25;0,087966426;0,174603175;1;3
Uruguay;URY;849;62,5;62,5;75,3;57,3;62,5;55,2;55;0,0836;0,0035;17180,61;0,148145195;0,191919192;2;4
Georgia;GEO;926;56,1;56,1;57,9;44,8;50,1;61,9;45;0,138;-0,0032;4363,45;0,148654914;0,147651007;1;3
Cyprus;CYP;985;62,7;62,7;72,3;57,9;61,7;62,2;55;0,0841;-0,0013;28713,71;0,137190618;0,178571429;2;4
Jordan;JOR;1015;55,3;55,3;71,2;41;48,2;56,7;40;0,186;0,031;4308,28;0,038464904;0,153846154;2;3
Latvia;LVA;1104;69,8;69,8;77,3;62,9;72,9;66,6;70;0,074;-0,0112;18073,73;0,200436203;0,3;2;4
Tunisia;TUN;1157;49;49;68,6;33,8;42,6;46,2;35;0,1545;0,0115;3438,77;0,083156791;0,225806452;2;2
New_Zealand;NZL;1159;79,3;79,3;85,8;75;77,5;76,8;90;0,0427;0,0192;41517,47;0,156524245;0,408333333;2;4
Lebanon;LBN;1442;46,4;46,4;53,9;42,3;54,1;44,3;5;0,0669;0,0057;12341,6;0,070023681;0,046875;1;3
Slovenia;SVN;1488;73,5;73,5;82,2;74;77,1;68,6;75;0,051;0,0015;25940,52;0,196068797;0,277777778;2;4
Slovakia;SVK;1552;69,6;69,6;80,3;67,3;71,4;63,3;80;0,0655;0,0009;19535,4;0,156292465;0,253729639;2;4
Lithuania;LTU;1784;72,4;72,4;79,4;71,9;74,5;69;75;0,062;-0,0099;18680,62;0,197050332;0,212765957;1;4
Benin;BEN;1805;49,4;49,4;65,1;41,7;50,1;36;30;0,01;0,028;907,2;0,032536053;0,072289157;1;2
Iceland;ISL;1807;74,8;74,8;90,2;60,2;72,1;71,6;75;0,03;0,0157;74185,47;0,147950926;0,380952381;2;4
Costa_Rica;CRI;1871;60,1;60,1;71,8;52,3;58,4;56,5;35;0,12;0,0106;12114,69;0,095498477;0,456140351;2;3
Sri_Lanka;LKA;1950;54,6;54,6;63,6;50;54,6;50,1;30;0,0445;-0,0027;4239,1;0,111917835;0,053333333;1;3
Estonia;EST;1965;77,3;77,3;83,3;80,2;77,6;71,2;85;0,044;0,0006;23787,53;0,196263568;0,297029703;2;4
Cape_Verde;CPV;2220;52,4;52,4;75,5;32,7;42,8;42,6;30;0,122;0,0124;3590,15;0,046093272;0,253729639;2;2
Paraguay;PRY;2303;52,1;52,1;61,1;53,5;55,9;42;50;0,0461;0,0131;5868,13;0,06430215;0,15;1;3
Maldives;MDV;3044;49,9;49,9;57,8;45,4;43,8;45,7;30;0,0607;0,0239;11906,95;0,037033446;0,045977011;1;3
Greece;GRC;3058;58,2;58,2;66,8;49,8;53,8;57,9;45;0,193;-0,0045;20268,64;0,216552721;0,206666667;2;4
Thailand;THA;3129;65,1;65,1;58,9;69;70,2;61,1;65;0,0107;0,0032;7443,18;0,119008931;0,162;2;3
Bulgaria;BGR;3453;64,7;64,7;72;62,9;65,5;61,4;60;0,041;-0,0069;9754,49;0,210219144;0,258333333;2;3
Luxembourg;LUX;4070;79,1;79,1;87,9;75,4;72,8;72,9;100;0,052;0,0209;114386,34;0,141831542;0,25;2;4
Hungary;HUN;4079;67,7;67,7;70,2;65,2;71;63,2;60;0,033;-0,0024;16438,63;0,191577254;0,125628141;2;4
Suriname;SUR;4215;40,9;40,9;56,4;26,7;31;42,7;20;0,0765;0,0144;5854,77;0,069063699;0,31372549;1;3
Nicaragua;NIC;4311;45,2;45,2;44,8;43,3;45,1;39,8;25;0,0545;0,0104;2030,5;0,052474974;0,445652174;1;2
Zambia;ZMB;5002;43,9;43,9;52,2;35,6;42;39,7;20;0,077;0,0273;1582,78;0,02099678;0,179640719;1;2
Gabon;GAB;6121;47,1;47,1;63,1;45,6;48,7;31,4;20;0,19;0,0267;8127,37;0,035639075;0,179104478;1;3
Kenya;KEN;6366;49,4;49,4;58,9;47,9;52,7;43,7;35;0,1152;0,028;1915,32;0,023391866;0,217765043;1;2
Democratic_Republic_of_the_Congo;COD;6939;56;56;62,7;54;54,4;47,5;40;0,0587;-0,0003;8334,44;0,030178406;0,253729639;1;1
Uzbekistan;UZB;6990;51;51;56,8;45;46,7;44,2;40;0,058;0,0152;1559,64;0,044191379;0,16;1;2
Finland;FIN;7025;77,2;77,2;91,8;71,3;73,2;74,2;95;0,0735;0,0033;49553,57;0,217207875;0,47;2;4
Australia;AUS;7255;74,7;74,7;85,4;69,6;74,3;72,4;100;0,053;0,0155;56734,78;0,156564752;0,304635762;2;4
El_Salvador;SLV;8027;48,1;48,1;60,4;43,1;53,3;43,2;25;0,0455;0,005;4065,27;0,0828709;0,30952381;2;2
Malaysia;MYS;8303;68,6;68,6;65,2;71,3;68,4;69,6;70;0,0335;0,0153;11172,56;0,066717546;0,144144144;1;3
Norway;NOR;8446;83,6;83,6;97,3;78,3;80,5;76,2;100;0,037;0,009;74737,52;0,170492222;0,408284024;2;4
Ethiopia;ETH;8475;42,2;42,2;41,7;44,8;48,8;34,9;30;0,16;0,0254;779,28;0,03501133;0,387568556;1;1
Morocco;MAR;9613;56,8;56,8;69,2;42,5;51,3;53,5;55;0,098;0,0132;3264,98;0,070129048;0,205063291;1;2
Czechia;CZE;9751;74,8;74,8;88,8;70,4;76,7;69;85;0,0227;0,0005;23038,75;0,194208769;0,253729639;2;4
Denmark;DNK;11924;80,9;80,9;92,7;70,2;76,3;79,1;100;0,0536;0,0041;61158,57;0,198129526;0,391061453;2;4
Serbia;SRB;12426;55,5;55,5;62,4;45;51,8;58,1;50;0,127;-0,005;7229,53;0,183457927;0,376518219;2;3
Azerbaijan;AZE;13715;56,6;56,6;51,3;52,7;50;60,7;50;0,0493;0,0116;4721,98;0,061951828;0,168067227;2;3
Bahrain;BHR;14383;56,9;56,9;56,5;37,1;44,2;65;40;0,0375;0,0306;24825,93;0,024263339;0,15;2;4
Japan;JPN;16424;74,2;74,2;87,3;62,5;68,9;70,3;75;0,024;-0,0012;39293,18;0,275763699;0,101075269;2;4
Austria;AUT;16803;78,7;78,7;89,5;70;77,3;74,4;95;0,0485;0,0086;51162,88;0,190015665;0,393442623;2;4
Armenia;ARM;17489;53,2;53,2;61,5;41,5;45,1;56,1;40;0,163;0,0029;4234,58;0,112538177;0,234848485;2;3
Iraq;IRQ;17770;36,2;36,2;36,7;46,7;44,8;26,9;25;0,13;0,0299;5633,49;0,033235997;0,252279635;1;3
